cycle,capacity,IC_C_H,IC_C_P,IC_D_H,IC_D_P
1,1.856487421,88289.81297,4.206846739,22830.11032,3.480996353
2,1.84632725,59498.18209,3.971994251,24381.9268,3.501614665
3,1.835349194,64157.53326,4.210377518,24668.75581,3.484150924
4,1.835262528,85564.96935,3.998605648,25125.64827,3.497941572
5,1.834645508,511873.162,3.977383973,21963.45943,3.512114804
6,1.83566166,56094.34813,3.960969918,22541.01338,3.501613191
7,1.835146143,83769.79093,3.924444113,26581.51031,3.483854418
8,1.825756791,160047.4548,3.9520178,24565.34332,3.484096641
9,1.824773853,87509.68439,3.947122463,22102.82162,3.491688609
10,1.824613268,60866.68923,3.936757617,23234.08026,3.499120438
11,1.824619553,248650.3492,3.948387887,21939.70228,3.498561535
12,1.814201936,114361.7251,3.954288953,27087.69741,3.504753932
13,1.813752158,358394.1681,3.925665278,23940.26503,3.492841457
14,1.813440491,117832.2969,3.970956641,24817.61031,3.490194588
15,1.802598004,224263.5722,3.944259428,25312.78406,3.50479489
16,1.8021069,439549.6044,3.96136413,22531.83242,3.498386668
17,1.802579501,100833.2998,3.954934775,22474.24408,3.509391465
18,1.803068314,185705.1716,3.954873487,24609.32632,3.495114976
19,1.802777625,148155.9539,3.945395083,23839.62721,3.510440442
20,1.847025995,120563.8597,3.956415412,23094.45598,3.489762436
21,1.847417311,383235.1569,3.953811942,22445.73342,3.503707278
22,1.836177421,118656.135,4.210963114,23427.05209,3.511196885
23,1.825780748,243749.5157,4.210798933,22830.85549,3.496857009
24,1.825113644,243515.111,3.945096703,22462.08459,3.49390643
25,1.825581504,484624.758,4.010035771,22673.92936,3.506030752
26,1.814031128,94968.00547,3.946283719,23208.78106,3.494121701
27,1.814769194,116112.1376,3.944813931,21521.53297,3.500168457
28,1.813969389,247810.7093,3.945085546,22479.72669,3.497454729
29,1.802765665,2307153.75,3.956626568,22426.83102,3.49891675
30,1.80407704,259549.0373,4.210404016,21579.08927,3.495772264
31,1.851802552,220664.4251,3.953466836,34396.97504,3.489896175
32,1.830703846,85270.87633,3.948580532,28544.88895,3.493820997
33,1.819904109,1892723.873,3.980971243,29183.69266,3.499710539
34,1.809307964,5667241.691,4.008697511,30235.68803,3.493680081
35,1.804609905,12919579.54,4.080606529,30940.77769,3.48786133
36,1.799377065,17112977.05,4.05843839,30105.85628,3.485744939
37,1.788443234,1291976.731,4.003242671,24585.03688,3.487843413
38,1.782923048,3560690.881,4.185555156,26170.32299,3.495518462
39,1.773033716,20985066.56,4.044882789,25031.92099,3.479910147
40,1.773037755,23211077.7,3.985707017,25297.45848,3.488415309
41,1.767872111,1696746.241,4.015514504,36693.59947,3.483234468
42,1.76231507,2625193.54,4.01876876,24142.48005,3.476047131
43,1.767617292,48539764.69,3.991994008,20568.17971,3.463071749
44,1.76266836,6711588.949,4.156628062,24965.05661,3.49253324
45,1.751730487,2719783.606,4.060930834,23667.05383,3.482218481
46,1.741849605,2555835.576,3.941092424,23835.85142,3.501908719
47,1.736091351,4542317.292,4.151403392,26961.61256,3.4956871
48,1.793624015,3036021.617,3.956509642,249560.9956,4.190409478
49,1.783189022,874807.5754,4.005059981,29521.05802,3.497555806
50,1.767364208,4470442.23,3.95772183,31791.11796,3.490883156
51,1.757017785,20287817.87,3.950698483,35600.94756,3.495808018
52,1.746870618,14149167.93,4.019468145,27433.68984,3.494348478
53,1.741717251,3492875.579,3.981093339,25363.80727,3.497148908
54,1.736422506,7934448.857,3.963472249,33467.64881,3.489464685
55,1.726321724,3379628.061,4.045898245,28605.30164,3.488152351
56,1.715806539,12871910.91,3.948186731,25138.02177,3.49926877
57,1.710533351,24659086.9,3.952519662,22382.40941,3.462258845
58,1.7060145,2112375.817,4.046646955,27135.80779,3.483453116
59,1.700311027,2643358.69,3.985584685,23510.2105,3.550684887
60,1.69457986,2097379.189,3.990883451,22387.96956,3.494672741
61,1.684902909,9991640.236,4.059163864,225589.2527,3.488633572
62,1.674474159,983352.2414,3.976952593,21561.11631,3.488241147
63,1.674569248,1685641.846,4.052591608,44740.36226,3.530507813
64,1.663716376,5366229.474,4.066434046,19801.61181,3.484819651
65,1.659013869,4595920.929,3.959763006,24576.82359,3.477255136
66,1.653854057,6279490.548,4.036493697,23052.37226,3.468752156
67,1.642653782,1218207.009,4.028999769,20820.70483,3.480097425
68,1.637857843,6145765.322,3.989050982,18783.82195,3.487468295
69,1.632735041,3224742.087,3.968139844,21580.1914,3.488553308
70,1.627752892,1280211.632,3.96781025,19549.43442,3.48914932
71,1.622125486,11101064.81,4.00980183,19274.52848,3.474330002
72,1.61132566,844868.5404,3.985521413,18976.07753,3.468523274
73,1.60656314,3201617.932,4.10492148,18350.53534,3.482419801
74,1.601514223,3014362.154,3.994743411,19237.56611,3.476423266
75,1.590369231,2017686.659,4.03476861,17405.48943,3.466300517
76,1.585788997,988262.5614,3.963870605,20739.86648,3.44990738
77,1.584943071,2127320.563,3.949194856,18311.00757,3.462800955
78,1.595526389,4432455.259,4.014969606,18333.57624,3.49157814
79,1.574730175,1028828.594,3.977145295,17502.17598,3.486214735
80,1.564901995,8892235.891,4.100591603,17992.38388,3.480306433
81,1.559765947,13572742.28,4.023783829,20933.4926,3.446023782
82,1.559481567,6670504.823,4.083955964,17872.89825,3.49290975
83,1.554689354,3757823.911,3.933593283,18668.40856,3.471966682
84,1.548874108,6820588.018,3.995877216,18065.91694,3.464867998
85,1.538236599,911841.9818,3.95608827,17520.19061,3.439597267
86,1.527914258,2271676.182,4.044475351,16747.87148,3.495145673
87,1.528525263,4161850.281,4.082411637,15815.97733,3.45782142
88,1.522647325,1354629.341,4.02436555,16697.39861,3.502801242
89,1.517485994,3259509.249,4.000248728,19951.64702,3.479100524
90,1.605818899,2854946.032,4.077598402,18265.62876,3.482991609
91,1.563849145,57097135.35,3.95693318,19714.06588,3.464372899
92,1.548091525,485139.265,4.028383057,19502.34185,3.507713448
93,1.532375563,1138615.301,4.023680678,15817.24734,3.487671158
94,1.526952827,1752255.344,4.03898821,17198.60368,3.483530182
95,1.516957302,3191039.134,4.17186998,16654.94162,3.465065333
96,1.511897596,6960313.219,4.206304407,16217.7897,3.458528116
97,1.506563896,1598158.389,4.082404487,15622.14539,3.454947715
98,1.501545353,4170322.869,4.031042303,16256.97419,3.471511756
99,1.490844405,1416886.809,4.1263213,19926.20056,3.444026265
100,1.485868385,3384571.919,3.988302015,15416.37674,3.437278772
101,1.480413678,446795.8784,3.985224237,15521.59094,3.45894205
102,1.475209587,7443389.954,4.146148643,14521.91358,3.49651021
103,1.485903599,1478475.445,4.000174862,15220.69663,3.460497789
104,1.49609183,832034.1025,4.113250562,15857.32882,3.456535181
105,1.480800595,1322832.629,4.141080021,14874.24699,3.447442422
106,1.469754327,1503974.362,3.954103845,17033.9598,3.449229407
107,1.453901227,1099245.236,4.006805077,38176.63686,3.484029128
