cycle,capacity,IC_C_H,IC_C_P,IC_D_H,IC_D_P
1.0,2.0312203977275693,192103.1719954089,4.002694302677825,24129.9277826267,3.470296242760996
1.0,2.033620232765765,199558.1622122235,4.052758230601589,21934.451311252193,3.369750895388849
1.0,2.0352650591636237,186909.78588908442,4.011718737350287,27475.531445227858,3.5451302141625116
1.0,2.0350997530148476,194805.69367449277,4.09164576726357,23456.180083160125,3.559216937377361
1.0,2.0388030792384675,173521.79193403857,4.132087114140871,25446.479122594486,3.4648881034312
1.0,2.043874876969657,211707.09876908205,4.082401430755038,24746.21477336037,3.4635950579213053
1.0,2.0328490554866745,183694.45368130945,4.1551574151356485,27479.272820024824,3.595440620003092
1.0,2.03855007421298,169383.8985056353,3.960063753376506,26356.552774208147,3.6002734674641124
1.0,2.0375916647970276,189617.39365863867,4.224711386250059,25967.952372185417,3.5666606380614523
1.0,2.0277801012169796,195865.1818199566,4.259451201680062,25684.987815803383,3.553464551563424
1.0,2.0354856533096894,193580.80219583542,4.228843481630253,24186.944248200492,3.433787564313401
1.0,2.0333909370432712,192785.2548913234,3.980998014451322,25939.755632035292,3.4758720938013523
1.0,2.038812682689881,172157.15979259217,4.184006410290214,26697.808474292782,3.5179149488778254
1.0,2.035459788555722,200889.66981856915,4.218058051855805,25679.32983123854,3.529011161747423
1.0,2.042082463170802,199887.91444129456,4.047622041406024,26609.9042939425,3.4786986145264995
1.0,2.0354730753227,193588.55565404246,4.19316665840079,27213.271236953202,3.4890310597233243
1.0,2.042384996710789,194144.1657704148,4.228813897746282,25273.307059960174,3.4529828946473238
1.0,2.043161831978123,186899.3729563601,4.059588097250002,23453.395986337688,3.5757152919525583
1.0,2.041457636614863,196151.99853482406,4.03251626902109,25016.535543935275,3.4662210910700058
1.0,2.031142888061606,187852.4774206451,4.155065153515305,24267.79948081629,3.5076751815851375
1.0,2.0281067603118554,208726.6278769592,4.081257591975123,26113.917183299825,3.500487878487452
1.0,2.036976030103529,181660.79529388197,4.0508881398329635,24101.777775374216,3.489095643912262
1.0,2.0407359396146427,196730.88055801025,4.039388440509628,25134.29421850657,3.4817038160735354
1.0,2.0339093331471356,192411.0835630971,4.176288648159325,24124.208944258964,3.4632030423694586
1.0,2.0393354857836705,197074.67567300244,4.218690171568603,26821.62572142696,3.392434692246785
1.0,2.0365111576546524,187668.91944469046,4.014841071663097,24037.538592903747,3.4663501920677633
1.0,2.0341386929618865,186716.40397100025,4.112336432920155,28086.385702119034,3.3669996947043015
1.0,2.039966668860493,192382.60605675593,4.077434768167605,22499.730381321577,3.540527861574704
1.0,2.0294718803761485,200530.45587187543,4.2567165514545,23419.90817351612,3.5688168740267856
1.0,2.0354411463963205,172396.56224497908,4.014339411769326,25248.02374811838,3.5153088975614044
1.0,2.028903110341009,192864.76936915,4.181211967816458,26274.48599822197,3.458533861786093
1.0,2.037122454980555,202884.895312498,4.1835895484970775,26140.42910145355,3.495244443674911
1.0,2.0349528399991588,195179.41636761295,4.050624077601011,26416.527338996246,3.3805873027307944
1.0,2.0332847075348366,192210.56854117624,4.152098843643543,25847.75063543482,3.5911794031311954
1.0,2.0356540946056123,185646.76320157474,4.101526647129319,24625.371033750605,3.523591316149912
1.0,2.0309941846668056,190870.480411036,4.246953763148738,25250.057641771666,3.41388931315454
2.0,2.023764023025501,254899.67637544454,3.9761663149732134,27328.29397284671,3.418757403394093
2.0,2.0192428477938096,277563.6359037652,4.054205071897864,27400.19619585097,3.5332554024600786
2.0,2.0199319509734437,286616.9652573257,4.123321362253863,24855.756360600906,3.5117021557058266
2.0,2.026114579902668,264757.6480045105,4.060306156204603,26326.040282458776,3.362241703152348
2.0,2.0197507337398006,273023.73579112656,4.040433941839758,24300.028221306995,3.5299733820313115
2.0,2.024404006313866,287956.90712907555,4.020337497966448,25592.039034029633,3.5005351054649023
2.0,2.026465013513545,290048.6739144561,3.964159515188883,24703.84438028619,3.6335649382689548
2.0,2.02334716704416,306547.8124018333,3.926304618626281,26271.01523203351,3.626793413005733
2.0,2.0237732500916676,277360.8850586411,3.9466785843978864,25223.791219914063,3.5244068360157357
2.0,2.024978246194515,280910.3901429536,4.136467441263716,24995.20476533355,3.4584336321229405
2.0,2.0285040492119037,299079.45840754535,4.093310820908092,27681.99961059494,3.526115793323936
2.0,2.023972735483934,259644.82314571732,3.9061836164750803,25511.532046563938,3.419153892880359
2.0,2.0187200583108407,287880.23991453246,4.042695860112183,24937.08429832387,3.5646724056010655
2.0,2.027637579981932,303423.6310635898,4.153895343213151,28548.21990594698,3.5531080965381516
2.0,2.0232777237779533,287822.9674037456,4.106110472790456,24120.623201566577,3.603254085019927
2.0,2.0244520059263946,290194.34942718333,3.916546878964782,23577.154498502827,3.4823349293014214
2.0,2.030417808877909,276864.93938199227,4.109236761710884,24525.038891344844,3.427048122845427
2.0,2.0261675472213443,296678.32477292494,3.9958275866263024,25438.80654218721,3.6141308120871813
2.0,2.0255246765715325,280186.9930053682,3.890648886651752,26856.094206975336,3.4720505144020235
2.0,2.023811336898567,302026.91488787194,4.144397772289435,25565.52559395315,3.4922688579842998
2.0,2.0251173519214865,280400.3082776367,3.952521063183434,24805.779324480187,3.565648758527897
