Model,MAE,RMSE,Beat_MAE,Beat_RMSE,MAE_Improvement_pct,RMSE_Improvement_pct
StackEnsemble,0.03075515468659665,0.036851234986379953,False,False,-230.70058802792101,-238.08472464568763
Stacking,0.03075515468659665,0.036851234986379953,False,False,-230.70058802792101,-238.08472464568763
Optimal Blend,0.055647923360393224,0.06126840071035856,False,False,-498.36476731605626,-462.0954193610877
OptimalBlend,0.055647923360393224,0.06126840071035856,False,False,-498.36476731605626,-462.0954193610877
GradBoost,0.06305478888017489,0.06862366535899342,False,False,-578.0084825825257,-529.5749115503983
Top-3 Ensemble,0.06415267434857184,0.07004515416738193,False,False,-589.8137026728156,-542.6160932787333
Top3Ensemble,0.06415267434857184,0.07004515416738193,False,False,-589.8137026728156,-542.6160932787333
ExtraTrees,0.06425390678897859,0.0704685959961832,False,False,-590.9022235374042,-546.5008806989284
RandomForest,0.0651849500500467,0.07114823518200182,False,False,-600.9134413983516,-552.7361025871727
XGBoost,0.0733678936958313,0.07741351401011254,False,False,-688.9020827508742,-610.2157248634178
LightGBM,0.07476412137252528,0.080441598993927,False,False,-703.9152835755407,-637.9963210452019
Weighted Ensemble,0.07686941743519526,0.08090783720463364,False,False,-726.552875647261,-642.2737358223269
WeightedEnsemble,0.07686941743519526,0.08090783720463364,False,False,-726.552875647261,-642.2737358223269
Avg Ensemble,0.08204719120842113,0.08551494211232288,False,False,-782.2278624561412,-684.5407533240632
AvgEnsemble,0.08204719120842113,0.08551494211232288,False,False,-782.2278624561412,-684.5407533240632
DNN-2,0.10496821254491806,0.10591700892336227,False,False,-1028.6904574722373,-871.715678195984
DNN-1,0.12873826920986176,0.12993536868189187,False,False,-1284.2824646221695,-1092.067602586164
