true,pred_meta_calibrated,pred_chronos_raw_L,last_obs_in_window
1.431414,1.4410156,1.4403437,1.441335997807603
1.4287294,1.440001,1.4393795,1.4314139738912715
1.4351056,1.4373056,1.4354286,1.428729381247071
1.4301336,1.431357,1.4314501,1.4351055248465778
1.4348763,1.4338506,1.4337422,1.430133546009156
1.4290798,1.4313445,1.4322244,1.4348762872508158
1.434732,1.4339255,1.4347892,1.4290797316235968
1.431631,1.4316063,1.4310341,1.4347319220354238
1.4322894,1.432456,1.4314736,1.4316309325581744
1.434378,1.432868,1.4326607,1.4322893230247908
1.4335793,1.4324869,1.4323156,1.4343779933417993
1.430405,1.4337481,1.4348869,1.433579286459323
1.4288118,1.4329247,1.4332,1.4304049812406299
1.4305298,1.4307613,1.4313076,1.428811755431985
1.4334282,1.4304936,1.4306191,1.430529798242242
1.4311181,1.4311954,1.4312105,1.4334281290679567
1.4308429,1.4319491,1.4318118,1.4311180934528032
1.4360605,1.430526,1.4307053,1.4308428413497576
1.430542,1.4305264,1.4303831,1.4360605114150822
1.4339024,1.433479,1.4326522,1.4305419578938643
1.4292372,1.4312009,1.4318008,1.433902348854715
1.4311979,1.4333186,1.4342434,1.429237210708504
1.4309431,1.4306796,1.4298393,1.4311978435385115
1.4315096,1.4313161,1.4314061,1.4309430938671388
1.4268395,1.431496,1.4305899,1.4315095745964244
1.4315252,1.431774,1.4320028,1.4268394334327887
1.4297066,1.4301299,1.4295264,1.4315251932879087
1.4314879,1.4308119,1.4308901,1.429706540128561
1.4338883,1.4298719,1.429925,1.4314878793923853
1.4378263,1.4295235,1.4288015,1.4338882807673066
1.4288591,1.4309878,1.430216,1.4378262386139353
1.4257394,1.4326906,1.4333208,1.4288590753623585
1.4309279,1.4300504,1.43075,1.4257393726119858
1.4312227,1.4280876,1.4266658,1.4309278396338774
1.428212,1.4300303,1.4308025,1.4312226399507029
1.4383531,1.4306436,1.430637,1.4282120096067081
1.4318085,1.4305304,1.4308658,1.4383530265294784
1.4343511,1.4317197,1.4321536,1.4318084369658082
1.4354974,1.4318862,1.4322239,1.434351049939349
1.4306839,1.4311602,1.4295481,1.4354973638219088
1.4345676,1.433545,1.4338572,1.430683811660774
1.4294542,1.4319074,1.4315144,1.4345675314973056
1.4315795,1.4324149,1.4315264,1.4294541693754073
1.4289998,1.4318422,1.431962,1.4315794312980061
1.4319674,1.4315838,1.4307177,1.4289997429834151
1.430553,1.4309416,1.4306364,1.4319673407510418
1.4285802,1.4310777,1.432895,1.4305529247731203
1.4327701,1.4313347,1.4322704,1.4285801256649775
1.4284904,1.4313372,1.4314808,1.43277009643305
1.4304188,1.4312863,1.4316685,1.428490362917906
1.431468,1.4312403,1.431582,1.430418810773565
1.4343381,1.431336,1.432183,1.4314679733468958
1.431401,1.430214,1.4305682,1.4343380553470704
1.4322519,1.4308262,1.4313722,1.4314009792989928
1.4298075,1.4323295,1.4323984,1.432251896478544
1.4298505,1.4311057,1.4312714,1.4298075083093618
1.428441,1.431312,1.431843,1.4298504216084933
1.4293855,1.4315976,1.4319513,1.4284410086479968
1.43653,1.4306405,1.4300582,1.4293855054461917
1.4288673,1.430941,1.4318795,1.4365299601123755
1.4324654,1.4326051,1.4330885,1.4288673054916854
1.4280787,1.4314691,1.4324616,1.432465396105585
1.4286186,1.4309194,1.4312842,1.4280786178970855
1.4375395,1.4296105,1.4290478,1.4286185130556306
1.4301938,1.430564,1.4299428,1.4375394232454506
1.4301752,1.4315488,1.4323395,1.4301937478810847
1.4341544,1.431249,1.4324212,1.4301751472586846
1.4298955,1.430259,1.430227,1.4341543551496454
1.4329734,1.4310753,1.4317309,1.429895481897884
1.4349213,1.4306043,1.4304247,1.4329733514707679
1.4299558,1.4314516,1.4314307,1.43492122826297
1.431102,1.4313526,1.4315454,1.4299558030470492
1.4245195,1.4307901,1.4305507,1.4311020042788856
1.4226853,1.4321004,1.4323478,1.4245195044335088
1.4291782,1.4301813,1.4300011,1.4226852259561633
1.4278406,1.4265802,1.4264932,1.4291782016089418
1.4293275,1.430465,1.4299275,1.4278405537858132
1.421055,1.4307686,1.4296603,1.4293274505645222
1.4262096,1.4311284,1.4322664,1.4210549248064686
1.4263374,1.4275987,1.4283572,1.4262095303461857
1.4299108,1.4272829,1.4267697,1.4263373226522003
1.4277622,1.4260063,1.425493,1.4299107427576585
1.4309279,1.429637,1.430594,1.4277621157497078
1.4262563,1.4297488,1.4305536,1.4309278396338774
1.4237776,1.4270465,1.4257021,1.4262562605168891
1.4299668,1.4291599,1.4305303,1.4237775470096121
1.4283397,1.427397,1.4279611,1.4299667699263052
1.425295,1.4288651,1.4295254,1.4283396826354862
1.4239881,1.4278692,1.4262654,1.4252949588813568
1.4242272,1.4273411,1.4278154,1.4239880647057375
1.4260232,1.4273278,1.4275031,1.4242272023121392
1.4212862,1.4269395,1.4286581,1.426023206049555
1.4272188,1.4265207,1.4271417,1.4212861901152531
1.4266125,1.4234974,1.4238776,1.4272187615513006
1.4249369,1.4272852,1.4273405,1.4266124621045224
1.4296883,1.4250287,1.4247915,1.4249368554844506
1.4232619,1.424609,1.4250597,1.4296882973378708
1.4210123,1.4269555,1.4267335,1.4232618452505619
1.4276749,1.4262222,1.425375,1.4210122434352972
