Voltage_measured_max,Voltage_measured_min,Voltage_measured_mean,Current_measured_max,Current_measured_min,Current_measured_mean,Temperature_measured_mean,Capacity_max
4.191922,2.3802607,3.499554,0.0019881565,-2.0100887,-1.8356925,32.339527,1.5937122
4.1920257,2.3805487,3.500159,0.001969131,-2.0098097,-1.8370606,32.32771,1.5901006
4.191144,2.3841653,3.4995954,0.0018353688,-2.0101366,-1.8364829,32.292908,1.5912755
4.19206,2.3838215,3.5001037,0.0019395986,-2.0098565,-1.8365895,32.319393,1.5880854
4.191692,2.3827102,3.5008914,0.0019304593,-2.0098844,-1.8335508,32.32637,1.5858318
4.192049,2.3855143,3.5002656,0.0018899478,-2.009989,-1.8359513,32.32917,1.5842758
4.191957,2.3800635,3.4995086,0.001990729,-2.0101814,-1.8335645,32.336506,1.5882044
4.1917,2.3854313,3.4997334,0.001874005,-2.010021,-1.836472,32.338123,1.583711
4.192268,2.3800204,3.5011222,0.0018498858,-2.0096636,-1.8395076,32.319714,1.5895945
4.191774,2.3812616,3.4995835,0.0019018188,-2.0098906,-1.8376955,32.325325,1.5904608
4.1913357,2.3827586,3.498608,0.0018993581,-2.0103264,-1.8384457,32.33134,1.5839381
4.1917524,2.3810294,3.5010843,0.0017171319,-2.0098262,-1.8378204,32.264072,1.5906715
4.1918683,2.3800466,3.5002077,0.0018879868,-2.0098774,-1.838847,32.3169,1.5890985
4.1918974,2.3739855,3.500164,0.0019870952,-2.0097373,-1.8358891,32.29073,1.5904658
4.192148,2.3802245,3.5008626,0.0019321456,-2.0096333,-1.8402278,32.302475,1.5937839
4.1921153,2.376019,3.5018513,0.0018277024,-2.0095053,-1.8392961,32.27765,1.589291
4.191788,2.3779202,3.5000074,0.0020252664,-2.0100067,-1.8334593,32.33288,1.5851886
4.191838,2.3809776,3.4992955,0.0019666073,-2.0099323,-1.8349562,32.341606,1.5896701
4.192027,2.3803568,3.5006585,0.0018739554,-2.0098314,-1.8375871,32.295002,1.5891525
4.1917553,2.3790605,3.5004148,0.0019616613,-2.0097768,-1.8354279,32.325542,1.5861391
4.1918664,2.3802767,3.4991412,0.0019511898,-2.0100253,-1.8359388,32.358845,1.5888585
4.1924376,2.3813598,3.5017085,0.0018285743,-2.0097008,-1.8375517,32.295956,1.5869074
4.1920543,2.3814626,3.4999204,0.0018757893,-2.0099363,-1.8377074,32.344284,1.5880479
4.19187,2.3845353,3.5010266,0.0019090207,-2.0098605,-1.834914,32.294598,1.5895797
4.192309,2.3787282,3.49844,0.001991601,-2.0101397,-1.8389317,32.36267,1.5964752
4.192021,2.3809621,3.5006337,0.0018508326,-2.0098555,-1.8378575,32.322422,1.5870011
4.191797,2.3790772,3.5004802,0.0019375604,-2.009809,-1.8355787,32.320713,1.5888729
4.191798,2.3851671,3.5001464,0.001839417,-2.0097666,-1.838022,32.330616,1.5898538
4.1918106,2.3863919,3.4988956,0.001881301,-2.0099332,-1.8390616,32.330856,1.584734
4.1924114,2.3775835,3.5032182,0.0020011489,-2.00964,-1.8400415,32.295597,1.5968673
4.192246,2.3759604,3.5000272,0.0018871493,-2.0099328,-1.837764,32.30296,1.5868255
4.1919084,2.3833482,3.4990737,0.0019403487,-2.0101492,-1.8349181,32.36867,1.5822101
4.19184,2.3878534,3.5000317,0.0018238341,-2.0097303,-1.8375971,32.316097,1.5889988
4.192288,2.3818898,3.5002823,0.0019789885,-2.009885,-1.8359826,32.345325,1.5892704
4.192211,2.380627,3.5004547,0.001893372,-2.0098329,-1.8389081,32.295998,1.5936381
4.1921906,2.3794067,3.500809,0.0019140465,-2.009892,-1.8364604,32.306206,1.5871359
4.19217,2.3787515,3.5002692,0.0019502171,-2.0099056,-1.8372369,32.317593,1.5866979
4.191896,2.3819888,3.500652,0.0018809665,-2.0098176,-1.8351883,32.308823,1.5851334
4.1919866,2.3798003,3.4989877,0.002039495,-2.0100505,-1.8330735,32.348698,1.5945926
4.1920156,2.3787787,3.5012546,0.0019140379,-2.0098321,-1.8373702,32.283222,1.5865809
4.1920605,2.3822627,3.5003316,0.001937125,-2.009832,-1.8377199,32.306805,1.5865084
4.192094,2.3867745,3.5008082,0.0019891167,-2.009756,-1.841874,32.330593,1.587147
4.1924977,2.377014,3.5017896,0.0019049137,-2.0097897,-1.8357301,32.2901,1.5896763
4.1917887,2.383209,3.5011542,0.0018419989,-2.0098069,-1.8363931,32.308163,1.586064
4.191527,2.3909187,3.500644,0.001745953,-2.0097682,-1.8441755,32.30494,1.5845032
4.1917753,2.3826017,3.4987323,0.0018854894,-2.009852,-1.8393651,32.334717,1.5844388
4.1915193,2.3900027,3.4993682,0.0016816749,-2.0097744,-1.8500367,32.321423,1.5840721
4.191902,2.3762755,3.5006752,0.0018929339,-2.0098548,-1.8367589,32.3006,1.587899
4.1921535,2.3791487,3.499485,0.001966117,-2.0098004,-1.8384314,32.314728,1.591802
4.1919575,2.3779185,3.5012743,0.0018428165,-2.009764,-1.8376614,32.27742,1.5909141
