Voltage_measured_max,Voltage_measured_min,Voltage_measured_mean,Current_measured_max,Current_measured_min,Current_measured_mean,Temperature_measured_mean,Capacity_max
4.191531,2.4774637,3.5026538,0.0024001114,-2.0141497,-1.8318307,32.153893,1.5779363
4.1878924,2.5000231,3.45542,0.0026463852,-2.0157328,-1.729083,32.999832,1.4128718
4.194256,2.3052585,3.527788,0.0012390258,-2.0066657,-1.9046748,31.959526,1.7077941
4.1882753,2.501203,3.4571526,0.0026286035,-2.0157473,-1.7325586,32.97392,1.4172285
4.189109,2.5021887,3.4679334,0.0024839481,-2.0152714,-1.7601682,32.751137,1.4502543
4.1951303,2.2422333,3.52582,0.0013288469,-2.0038044,-1.9047112,32.005665,1.6986805
4.1886363,2.5082395,3.460799,0.0024941952,-2.0156233,-1.7429549,32.897808,1.4305079
4.196387,2.2043886,3.5270839,0.0010545244,-2.0016766,-1.9088688,32.062366,1.7019061
4.1909766,2.4358761,3.5150504,0.0020548832,-2.0125792,-1.8645029,31.966703,1.6543826
4.191407,2.459563,3.509345,0.0022877487,-2.0134997,-1.8474414,32.048145,1.6138934
4.192252,2.400394,3.5171227,0.0018457016,-2.010778,-1.8789972,31.97151,1.6609193
4.1910014,2.449902,3.5132132,0.0022200246,-2.0133162,-1.8559903,32.002098,1.638672
4.1916966,2.417907,3.5135443,0.0020694665,-2.0116558,-1.8651671,32.04925,1.6338193
4.195628,2.2253506,3.5247526,0.0012658999,-2.0028296,-1.9036081,32.044174,1.6900939
4.191119,2.4637349,3.5018806,0.0023290378,-2.0132928,-1.8332057,32.18818,1.581811
4.1899266,2.507712,3.4768457,0.0024707913,-2.015281,-1.7784512,32.60669,1.4834719
4.191805,2.403555,3.5174975,0.0019170087,-2.0109787,-1.8744947,31.975733,1.6579674
4.1960187,2.2270787,3.529415,0.0011118475,-2.0026476,-1.9107318,31.991701,1.7145439
4.1883936,2.4986856,3.4587278,0.0025812103,-2.0155008,-1.7373414,32.92752,1.4234587
4.199709,2.0744824,3.5203946,0.00069017144,-1.9948885,-1.9136614,32.354713,1.6631144
