Case,Batch size,Learning rate,Epoch,dropout,R2,RMSE,MAE,MAE Imp%
1,32,0.0001,20,0.02,0.875318445099874,0.0038494913442249,0.0027898866989018,
2,32,0.001,20,0.02,0.8787383235937184,0.0037963306087412,0.0027422979359621,
3,32,0.01,20,0.02,0.8815392576850665,0.0037522301385016,0.0027015163023401,
4,32,0.0001,30,0.02,0.875691395791511,0.003843729683357,0.0027845570513126,
5,32,0.001,30,0.02,0.8787383235937184,0.0037963306087412,0.0027422979359621,
6,32,0.01,30,0.02,0.8815392576850665,0.0037522301385016,0.0027015163023401,
7,32,0.0001,50,0.02,0.875691395791511,0.003843729683357,0.0027845570513126,
8,32,0.001,50,0.02,0.8787383235937184,0.0037963306087412906,0.002742297935962185,71.73%
9,32,0.01,50,0.02,0.8815392576850665,0.0037522301385016646,0.002701516302340108,72.15%
10,64,0.0001,20,,,0.0037697883957491,0.002721114828286,71.95%
11,64,0.001,20,,,0.0038143396381452,0.0027557227747261,71.59%
12,64,0.01,20,,,0.0037568801393276,0.0027070072901394,72.09%
13,64,0.0001,30,,,0.0037697883957491,0.002721114828286,71.95%
14,64,0.001,30,0.05,0.8775851127236394,0.0038143396381452,0.0027557227747261,
15,64,0.01,30,,,0.0037605991636237,0.0027110139278041,72.05%
16,64,0.0001,50,,,0.0037697883957491,0.002721114828286,71.95%
17,64,0.001,50,0.05,0.8794201784267086,0.003785642172097104,0.002735317076368222,71.80%
18,64,0.01,50,0.05,0.8810102354722272,0.0037605991636237997,0.002711013927804149,72.05%
19,128,0.0001,20,,,0.003801320284199,0.0027472151593225,71.68%
20,128,0.001,20,,,0.00379324013634,0.0027407436223557,71.74%
21,128,0.01,20,,,0.003751164167951,0.0027052397360862,72.11%
22,128,0.0001,30,,,0.003801320284199,0.0027472151593225,71.68%
23,128,0.001,30,0.1,0.878259209621022,0.0038038230086739,0.0027443290819405,
24,128,0.01,30,,,0.0037538862078989,0.0027058861069866,72.10%
25,128,0.0001,50,,,0.003801320284199,0.0027472151593225,71.68%
26,128,0.001,50,0.1,0.8786930321754938,0.0037970395101450086,0.0027428307256440786,71.72%
27,128,0.01,50,0.1,0.8818169194856394,0.003747830106158157,0.0026992473882974277,72.17%
