Case,Batch size,Learning rate,Epoch,dropout,R2,RMSE,MAE,MAE Imp%
1,32,0.0001,30,0.02,0.8794201771705823,0.0037856421918153467,0.002735317093202551,71.80%
2,32,0.001,30,0.02,0.8763438642021081,0.0038336289676924634,0.0027849664285278367,71.29%
3,32,0.01,30,0.02,0.8814575344745447,0.003753524201915214,0.00270231204424264,72.14%
4,32,0.0001,50,0.02,0.8803781691755266,0.0037705739702880952,0.002724425231767559,71.91%
5,32,0.001,50,0.02,0.8746378041070455,0.003859984297675991,0.0027846787298434097,71.29%
6,32,0.01,50,0.02,0.8814575344745447,0.003753524201915214,0.00270231204424264,72.14%
7,32,0.0001,100,0.02,0.8803781691755266,0.0037705739702880952,0.002724425231767559,71.91%
8,32,0.001,100,0.02,0.8762215841390673,0.0038355239830758447,0.0027739200616203135,71.40%
9,32,0.01,100,0.02,0.8814172590371931,0.003754161787736204,0.0027040157288512243,72.12%
10,64,0.0001,30,0.05,0.8804280088424437,0.003769788395749168,0.00272111482828606,71.95%
11,64,0.001,30,0.05,0.8775851127236394,0.003814339638145258,0.002755722774726193,71.59%
12,64,0.01,30,0.05,0.8810102354722272,0.0037605991636237997,0.002711013927804149,72.05%
13,64,0.0001,50,0.05,0.8804486849490408,0.0037694624502005785,0.0027165843062995593,71.99%
14,64,0.001,50,0.05,0.8774926249367415,0.003815780284911838,0.0027685725528079305,71.46%
15,64,0.01,50,0.05,0.8791150186232664,0.003790429440094171,0.002735153328849012,71.80%
16,64,0.0001,100,0.05,0.8799804526844558,0.0037768369367943604,0.0027186999942786943,71.97%
17,64,0.001,100,0.05,0.8774926249367415,0.003815780284911838,0.0027685725528079305,71.46%
18,64,0.01,100,0.05,0.8810102354722272,0.0037605991636237997,0.002711013927804149,72.05%
19,128,0.0001,30,0.1,0.8784193555698254,0.003801320284199081,0.002747215159322588,71.68%
20,128,0.001,30,0.1,0.878259209621022,0.003803823008673962,0.002744329081940539,71.71%
21,128,0.01,30,0.1,0.8814346678836266,0.003753886207898995,0.0027058861069866207,72.10%
22,128,0.0001,50,0.1,0.8784193555698254,0.003801320284199081,0.002747215159322588,71.68%
23,128,0.001,50,0.1,0.878259209621022,0.003803823008673962,0.002744329081940539,71.71%
24,128,0.01,50,0.1,0.8814346678836266,0.003753886207898995,0.0027058861069866207,72.10%
25,128,0.0001,100,0.1,0.8784193555698254,0.003801320284199081,0.002747215159322588,71.68%
26,128,0.001,100,0.1,0.878259209621022,0.003803823008673962,0.002744329081940539,71.71%
27,128,0.01,100,0.1,0.8814346678836266,0.003753886207898995,0.0027058861069866207,72.10%
