Case,Batch size,Learning rate,Epoch,dropout,R2,RMSE,MAE,MAE Imp%
1,32,0.0001,30,0.02,0.8794201771705823,0.0037856421918153,0.0027353170932025,71.80%
2,32,0.001,30,0.02,0.8763438642021081,0.0038336289676924,0.0027849664285278,71.29%
3,32,0.01,30,0.02,0.8815392576850665,0.0037522301385016,0.0027015163023401,0%
4,32,0.0001,50,0.02,0.875691395791511,0.003843729683357,0.0027845570513126,0%
5,32,0.001,50,0.02,0.8799093675759135,0.0037779552426371998,0.0027135078831583173,72.03%
6,32,0.01,50,0.02,0.8814575344745447,0.003753524201915214,0.00270231204424264,72.14%
7,32,0.0001,100,0.02,0.8803781691755266,0.0037705739702880952,0.002724425231767559,71.91%
8,32,0.001,100,0.02,0.8746378041070455,0.003859984297675991,0.0027846787298434097,71.29%
9,32,0.01,100,0.02,0.8814575344745447,0.003753524201915214,0.00270231204424264,72.14%
10,64,0.0001,30,0.05,0.8804280088424437,0.0037697883957491,0.002721114828286,0%
11,64,0.001,30,0.05,0.8775851127236394,0.0038143396381452,0.0027557227747261,0%
12,64,0.01,30,0.05,0.8810102354722272,0.0037605991636237,0.0027110139278041,0%
13,64,0.0001,50,0.05,0.8804280088424437,0.0037697883957491,0.002721114828286,0%
14,64,0.001,50,0.05,0.8753126020689856,0.0038495815437469597,0.00280763691651784,71.06%
15,64,0.01,50,0.05,0.8813835217607934,0.0037546957869744337,0.002705050989588288,72.11%
16,64,0.0001,100,0.05,0.8799058859800701,0.0037780100063505386,0.0027232683261683584,71.93%
17,64,0.001,100,0.05,0.8780614628772258,0.003806911079679155,0.002752401496268088,71.62%
18,64,0.01,100,0.05,0.8806020098786763,0.00376704450109603,0.0027181509763035535,71.98%
19,128,0.0001,30,0.1,0.8784193555698254,0.003801320284199,0.0027472151593225,0%
20,128,0.001,30,0.1,0.878259209621022,0.0038038230086739,0.0027443290819405,0%
21,128,0.01,30,0.1,0.8814346678836266,0.0037538862078989,0.0027058861069866,0%
22,128,0.0001,50,0.1,0.8784193555698254,0.003801320284199,0.0027472151593225,0%
23,128,0.001,50,0.1,0.8786911065533778,0.0037970696470545815,0.0027402940615969653,71.75%
24,128,0.01,50,0.1,0.8816430292409981,0.0037505863024827743,0.002702189810179,72.14%
25,128,0.0001,100,0.1,0.8799957765951727,0.00377659581873984,0.0027246970725139925,71.91%
26,128,0.001,100,0.1,0.8786911065533778,0.0037970696470545815,0.0027402940615969653,71.75%
27,128,0.01,100,0.1,0.8816430292409981,0.0037505863024827743,0.002702189810179,72.14%
